"ERROR"
Node pair counts:
  Cubix.Language.SuiMove.Modularized.AtBind -> Cubix.Language.SuiMove.Modularized.HiddenVariableIdentifier: 52
  Cubix.Language.SuiMove.Modularized.BinaryExpression1 -> Cubix.Language.SuiMove.Modularized.EqualsSignEqualsSignGreaterThanSignTok: 11
  Cubix.Language.SuiMove.Modularized.BinaryExpression1 -> Cubix.Language.SuiMove.Modularized.HiddenExpressionAbortExpression: 1
  Cubix.Language.SuiMove.Modularized.BinaryExpression1 -> Cubix.Language.SuiMove.Modularized.HiddenExpressionAssignExpression: 0
  Cubix.Language.SuiMove.Modularized.BinaryExpression1 -> Cubix.Language.SuiMove.Modularized.HiddenExpressionBinaryExpression: 5
  Cubix.Language.SuiMove.Modularized.BinaryExpression1 -> Cubix.Language.SuiMove.Modularized.HiddenExpressionCallExpression: 2
  Cubix.Language.SuiMove.Modularized.BinaryExpression1 -> Cubix.Language.SuiMove.Modularized.HiddenExpressionCastExpression: 1
  Cubix.Language.SuiMove.Modularized.BinaryExpression1 -> Cubix.Language.SuiMove.Modularized.HiddenExpressionIdentifiedExpression: 1
  Cubix.Language.SuiMove.Modularized.BinaryExpression1 -> Cubix.Language.SuiMove.Modularized.HiddenExpressionIfExpression: 1
  Cubix.Language.SuiMove.Modularized.BinaryExpression1 -> Cubix.Language.SuiMove.Modularized.HiddenExpressionLambdaExpression: 1
  Cubix.Language.SuiMove.Modularized.BinaryExpression1 -> Cubix.Language.SuiMove.Modularized.HiddenExpressionLoopExpression: 1
  Cubix.Language.SuiMove.Modularized.BinaryExpression1 -> Cubix.Language.SuiMove.Modularized.HiddenExpressionMacroCallExpression: 1
  Cubix.Language.SuiMove.Modularized.BinaryExpression1 -> Cubix.Language.SuiMove.Modularized.HiddenExpressionMatchExpression: 0
  Cubix.Language.SuiMove.Modularized.BinaryExpression1 -> Cubix.Language.SuiMove.Modularized.HiddenExpressionQuantifierExpression: 1
  Cubix.Language.SuiMove.Modularized.BinaryExpression1 -> Cubix.Language.SuiMove.Modularized.HiddenExpressionReturnExpression: 1
  Cubix.Language.SuiMove.Modularized.BinaryExpression1 -> Cubix.Language.SuiMove.Modularized.HiddenExpressionUnaryExpression: 9
  Cubix.Language.SuiMove.Modularized.BinaryExpression1 -> Cubix.Language.SuiMove.Modularized.HiddenExpressionVectorExpression: 0
  Cubix.Language.SuiMove.Modularized.BinaryExpression1 -> Cubix.Language.SuiMove.Modularized.HiddenExpressionWhileExpression: 1
  Cubix.Language.SuiMove.Modularized.BinaryExpression10 -> Cubix.Language.SuiMove.Modularized.FullStopFullStopTok: 13
  Cubix.Language.SuiMove.Modularized.BinaryExpression10 -> Cubix.Language.SuiMove.Modularized.HiddenExpressionAbortExpression: 1
  Cubix.Language.SuiMove.Modularized.BinaryExpression10 -> Cubix.Language.SuiMove.Modularized.HiddenExpressionAssignExpression: 0
  Cubix.Language.SuiMove.Modularized.BinaryExpression10 -> Cubix.Language.SuiMove.Modularized.HiddenExpressionBinaryExpression: 3
  Cubix.Language.SuiMove.Modularized.BinaryExpression10 -> Cubix.Language.SuiMove.Modularized.HiddenExpressionCallExpression: 8
  Cubix.Language.SuiMove.Modularized.BinaryExpression10 -> Cubix.Language.SuiMove.Modularized.HiddenExpressionCastExpression: 1
  Cubix.Language.SuiMove.Modularized.BinaryExpression10 -> Cubix.Language.SuiMove.Modularized.HiddenExpressionIdentifiedExpression: 1
  Cubix.Language.SuiMove.Modularized.BinaryExpression10 -> Cubix.Language.SuiMove.Modularized.HiddenExpressionIfExpression: 1
  Cubix.Language.SuiMove.Modularized.BinaryExpression10 -> Cubix.Language.SuiMove.Modularized.HiddenExpressionLambdaExpression: 1
  Cubix.Language.SuiMove.Modularized.BinaryExpression10 -> Cubix.Language.SuiMove.Modularized.HiddenExpressionLoopExpression: 1
  Cubix.Language.SuiMove.Modularized.BinaryExpression10 -> Cubix.Language.SuiMove.Modularized.HiddenExpressionMacroCallExpression: 1
